datetime,symbol,action,price,amount,quantity
2025-01-03 09:30:00,300007,SELL,18.586064758300783,269479.1114986364,13100.0
2025-01-04 09:30:00,301316,BUY,20.72731968383789,241994.0872635705,15400.0
2025-01-04 09:30:00,688800,BUY,45.70245654363037,240962.22246492136,5272.41292237506
2025-01-04 09:30:00,300007,BUY,20.461068006781492,283340.1112287241,13847.767434955771
2025-01-05 09:30:00,600490,SELL,2.9994,210439.7094819172,78300.0
2025-01-06 09:30:00,301316,BUY,20.72731968383789,217781.82502043372,15400.0
2025-01-07 09:30:00,601908,BUY,2.7905579618453977,290567.2960017791,115000.0
2025-01-07 09:30:00,688313,BUY,14.978591547203065,368763.10767756874,21440.0
2025-01-07 09:30:00,688800,SELL,43.36374296646118,267170.5543284012,6649.0
2025-01-09 09:30:00,002364,SELL,12.556567859496852,35074.61772238863,3000.0
2025-01-12 09:30:00,301000,SELL,29.16875233230591,150834.39128445898,4700.0
2025-01-12 09:30:00,002896,SELL,29.606940967941284,73795.70422078493,2700.0
2025-01-13 09:30:00,002364,BUY,12.669632478618073,25010.778558137827,1974.0729338713898
2025-01-13 09:30:00,000880,SELL,12.337842988204956,52602.386677091155,4600.0
2025-01-13 09:30:00,300007,BUY,22.16033595085144,239126.6880832746,12200.0
2025-01-14 09:30:00,002364,SELL,12.556567859496852,34018.87266420544,3000.0
2025-01-14 09:30:00,301316,SELL,19.890668668746947,37845.65647782542,1700.0
2025-01-14 09:30:00,300007,BUY,22.16033595085144,340093.22503272205,12200.0
2025-01-15 09:30:00,002364,SELL,12.556567859496852,41448.895970311205,3000.0
2025-01-15 09:30:00,000880,SELL,12.337842988204956,55418.724490021064,4600.0
2025-01-15 09:30:00,002896,SELL,29.606940967941284,90458.48132979349,2700.0
2025-01-15 09:30:00,601908,SELL,2.5994799046516417,339929.58952984423,115000.0
2025-01-16 09:30:00,301316,BUY,18.893817431522624,49231.94896986875,2605.71740720484
2025-01-17 09:30:00,600789,BUY,8.804347072792053,291843.4092015245,30900.0
2025-01-18 09:30:00,002536,BUY,13.211013790512084,420951.01709582104,23200.0
2025-01-18 09:30:00,600186,SELL,5.11897588558197,281802.89889094955,62100.0
2025-01-18 09:30:00,688313,SELL,18.975276756286625,36347.643588153114,1552.0
2025-01-18 09:30:00,301316,SELL,19.97350536648316,42333.65129019107,2119.4903204737257
2025-01-18 09:30:00,002896,SELL,33.193803179168704,3010.062251792138,100.0
2025-01-19 09:30:00,688313,SELL,18.975276756286625,30791.63398150684,1552.0
2025-01-19 09:30:00,301000,BUY,31.35078565750122,5623.804353965179,200.0
2025-01-21 09:30:00,002896,SELL,33.193803179168704,3540.2011113662293,100.0
2025-01-21 09:30:00,002896,SELL,33.193803179168704,2431.7288370445863,100.0
2025-01-22 09:30:00,600186,BUY,4.8418866112046395,245874.25041157007,50780.67087374392
2025-01-23 09:30:00,002536,BUY,12.946597628974914,24986.60284768187,2200.0
2025-01-26 09:30:00,002536,BUY,12.946597628974914,31643.994541882807,2200.0
2025-01-27 09:30:00,000880,BUY,14.172487823295594,30096.77381074418,2500.0
2025-01-28 09:30:00,002896,SELL,44.08467953033448,93815.36656066749,1900.0
2025-01-29 09:30:00,000880,BUY,14.172487823295594,33275.33664919256,2500.0
2025-01-31 09:30:00,603118,BUY,9.211842038154602,55960.41551899828,6100.0
2025-02-04 09:30:00,301000,SELL,36.60275488891602,13500.29343309005,300.0
2025-02-05 09:30:00,688313,BUY,16.496422632980348,41411.46143213231,2745.0
2025-02-05 09:30:00,688048,SELL,45.22095354232789,33649.7071712792,730.0
2025-02-05 09:30:00,301511,BUY,13.312662419700622,374636.2458159952,23300.0
2025-02-05 09:30:00,300007,SELL,27.834155642318727,6454.271861530753,200.0
2025-02-05 09:30:00,301511,BUY,13.312662419700622,259983.4723021597,23300.0
2025-02-06 09:30:00,002896,SELL,45.44891239700318,290314.61236401444,7300.0
2025-02-06 09:30:00,002364,BUY,12.032471549606322,14887.305726077291,1300.0
2025-02-07 09:30:00,002364,SELL,13.378412992668151,14997.669302211005,1100.0
2025-02-07 09:30:00,002536,BUY,13.142461417007446,6406.629471754396,500.0
2025-02-07 09:30:00,002896,SELL,45.44891239700318,344717.74930533726,7300.0
2025-02-09 09:30:00,688313,SELL,19.334619927597046,27991.25990402887,1328.0
2025-02-10 09:30:00,600789,BUY,10.159624291992188,3920.216755290868,300.0
2025-02-10 09:30:00,301511,SELL,14.227153542327882,368068.53535569296,23300.0
2025-02-10 09:30:00,300693,BUY,28.11712971725464,330796.28987041675,12100.0
2025-02-10 09:30:00,301511,SELL,14.227153542327882,284967.59001928644,23300.0
2025-02-10 09:30:00,002068,BUY,10.35207038154602,387302.42959427356,32800.0
2025-02-11 09:30:00,002068,BUY,10.35207038154602,300054.2534521023,32800.0
2025-02-11 09:30:00,002364,SELL,13.378412992668151,11734.052841658646,1100.0
2025-02-11 09:30:00,002364,SELL,13.378412992668151,14247.29436308855,1100.0
2025-02-11 09:30:00,002364,SELL,13.378412992668151,12611.94683362442,1100.0
2025-02-12 09:30:00,688313,SELL,19.334619927597046,23883.09865601196,1328.0
2025-02-12 09:30:00,688313,SELL,19.334619927597046,28568.223700357652,1328.0
2025-02-12 09:30:00,002364,SELL,13.378412992668151,11897.612355834843,1100.0
2025-02-13 09:30:00,300693,SELL,30.31026669006348,277926.09152224805,12100.0
2025-02-14 09:30:00,603496,BUY,28.20270476646424,416673.3495897047,13000.0
2025-02-14 09:30:00,000880,SELL,17.491831744384765,62080.54500477483,3000.0
2025-02-15 09:30:00,301000,BUY,38.60855405960083,30710.075018955922,700.0
2025-02-16 09:30:00,603496,BUY,28.20270476646424,501671.53572651884,13000.0
2025-02-17 09:30:00,000880,SELL,17.491831744384765,47355.393941853945,3000.0
2025-02-17 09:30:00,603118,BUY,10.90217961845398,19126.312381349846,1600.0
2025-02-17 09:30:00,002536,SELL,14.145500068855286,1522.5742119427198,100.0
2025-02-19 09:30:00,002364,SELL,16.824820397949217,68724.28932487538,3500.0
2025-02-19 09:30:00,301000,BUY,38.60855405960083,28606.394729673266,700.0
2025-02-19 09:30:00,603118,BUY,10.90217961845398,16388.934282230766,1600.0
2025-02-20 09:30:00,301000,BUY,38.011209425354,35550.35540953137,900.0
2025-02-22 09:30:00,000880,SELL,20.46871046218872,449714.4653329262,20500.0
2025-02-22 09:30:00,002364,SELL,19.23829710922241,480840.974819142,21700.0
2025-02-23 09:30:00,002364,SELL,19.23829710922241,441838.6727449157,21700.0
2025-02-23 09:30:00,300065,BUY,13.40267961845398,326655.4464524675,29100.0
2025-02-23 09:30:00,300065,BUY,13.40267961845398,431074.5587178568,29100.0
2025-02-24 09:30:00,603118,SELL,12.047590190696717,289245.04770963464,33500.0
2025-02-24 09:30:00,000880,SELL,20.46871046218872,339310.7282461693,20500.0
2025-02-25 09:30:00,300451,BUY,6.571314171695709,409261.79733750905,58700.0
2025-02-25 09:30:00,300226,BUY,26.164476386260983,46615.35924270334,1700.0
2025-02-26 09:30:00,688313,BUY,20.39085523338317,11611.096108682481,658.0
2025-02-27 09:30:00,603496,SELL,29.530069214630128,395512.94792736595,13000.0
2025-02-27 09:30:00,300065,BUY,13.40267961845398,451652.7946978125,29100.0
2025-02-28 09:30:00,300725,BUY,40.872239891052246,32523.389108448766,800.0
2025-03-01 09:30:00,603118,BUY,11.776662001571433,293824.3876809216,24949.717300344935
2025-03-02 09:30:00,002649,SELL,14.093826979637146,299673.81101728615,24900.0
2025-03-02 09:30:00,002364,BUY,16.672574799728395,398896.45730200695,30000.0
2025-03-03 09:30:00,688800,BUY,37.96419532470703,395568.6262865575,13199.0
2025-03-03 09:30:00,300725,SELL,38.84284633178711,342259.9238758157,9500.0
2025-03-03 09:30:00,300352,BUY,5.721143790149688,431374.67971448327,87500.0
2025-03-04 09:30:00,300065,SELL,11.187761580467225,266988.34642521816,29100.0
2025-03-04 09:30:00,300593,BUY,13.35267038154602,113191.87173527283,9800.0
2025-03-06 09:30:00,688313,SELL,18.805587190246584,556505.5772544693,28341.0
