datetime,symbol,action,price,quantity,amount,investor_id,type_id,type_label
2024-01-03,600014,BUY,47.217977612547564,390,18415.01126889355,T1_01,T1,长线分散
2024-01-17,600003,BUY,50.874380920445915,209,10632.745612373197,T1_01,T1,长线分散
2024-02-22,600014,SELL,38.11882419223453,390,14866.341434971466,T1_01,T1,长线分散
2024-03-08,600019,BUY,59.463589134258946,247,14687.50651616196,T1_01,T1,长线分散
2024-03-18,600023,BUY,49.62752060242211,263,13052.037918437014,T1_01,T1,长线分散
2024-04-26,600023,SELL,42.139174680100396,263,11082.602940866404,T1_01,T1,长线分散
2024-05-24,600019,SELL,55.01153252955688,247,13587.848534800549,T1_01,T1,长线分散
2024-06-12,600003,SELL,53.89405354759228,209,11263.857191446787,T1_01,T1,长线分散
2024-06-25,600006,BUY,85.22025552549928,96,8181.144530447931,T1_01,T1,长线分散
2024-08-27,600006,BUY,82.66061402459147,162,13391.019471983818,T1_01,T1,长线分散
2024-09-18,600006,SELL,72.06942523818014,96,6918.664822865294,T1_01,T1,长线分散
2024-09-19,600010,BUY,61.55316984687743,360,22159.141144875874,T1_01,T1,长线分散
2024-09-26,600004,BUY,59.60908527893963,341,20326.698080118415,T1_01,T1,长线分散
2024-10-11,600006,SELL,68.6304495350122,162,11118.132824671977,T1_01,T1,长线分散
2025-01-09,600010,SELL,54.488890081502575,360,19616.000429340926,T1_01,T1,长线分散
2025-02-11,600015,BUY,78.96431073113854,147,11607.753677477365,T1_01,T1,长线分散
2025-03-20,600004,SELL,60.769213448477934,341,20722.301785930977,T1_01,T1,长线分散
2025-03-24,600025,BUY,29.63610433259385,150,4445.415649889077,T1_01,T1,长线分散
2025-05-05,600007,BUY,33.48446456619616,732,24510.628062455587,T1_01,T1,长线分散
2025-05-21,600015,SELL,102.91156066032097,147,15127.999417067183,T1_01,T1,长线分散
2025-06-02,600050,BUY,82.75755905820004,354,29296.175906602817,T1_01,T1,长线分散
2025-06-23,600049,BUY,64.75383113574772,48,3108.1838945158906,T1_01,T1,长线分散
2025-07-17,600018,BUY,67.7284060711702,249,16864.37311172138,T1_01,T1,长线分散
2025-07-25,600025,SELL,30.309109068628143,150,4546.3663602942215,T1_01,T1,长线分散
2025-08-01,600018,SELL,56.51243449839214,249,14071.596190099643,T1_01,T1,长线分散
2025-08-06,600007,SELL,35.19856946085384,732,25765.35284534501,T1_01,T1,长线分散
2025-08-13,600028,BUY,20.692456974624452,703,14546.79725316099,T1_01,T1,长线分散
2025-09-12,600049,SELL,76.75479193314139,48,3684.2300127907865,T1_01,T1,长线分散
2025-09-24,600028,SELL,27.327721765030265,703,19211.388400816275,T1_01,T1,长线分散
2025-09-26,600034,BUY,62.41963929458505,219,13669.901005514126,T1_01,T1,长线分散
2025-11-03,600014,BUY,40.693392920181424,549,22340.672713179603,T1_01,T1,长线分散
2025-11-20,600050,SELL,80.44013244024515,354,28475.806883846784,T1_01,T1,长线分散
2025-12-04,600034,SELL,62.29882336176986,219,13643.4423162276,T1_01,T1,长线分散
2025-12-04,600014,SELL,49.19837077943081,549,27009.905557907514,T1_01,T1,长线分散
2024-01-22,600008,BUY,51.4364795700341,529,27209.89769254804,T1_02,T1,长线分散
2024-06-07,600008,SELL,55.71723892804066,529,29474.41939293351,T1_02,T1,长线分散
2024-08-09,600026,BUY,65.9472643167652,106,6990.410017577111,T1_02,T1,长线分散
2024-08-15,600010,BUY,60.741107887929566,164,9961.54169362045,T1_02,T1,长线分散
2024-08-28,600012,BUY,51.12257946023654,138,7054.915965512642,T1_02,T1,长线分散
2024-10-10,600042,BUY,87.94992228621352,223,19612.832669825617,T1_02,T1,长线分散
2024-11-13,600012,SELL,68.81265612145025,138,9496.146544760133,T1_02,T1,长线分散
2024-12-04,600041,BUY,44.34794842103717,545,24169.631889465254,T1_02,T1,长线分散
2024-12-24,600009,BUY,41.61615639136015,614,25552.32002429513,T1_02,T1,长线分散
2024-12-30,600026,SELL,80.66007618329444,106,8549.96807542921,T1_02,T1,长线分散
2025-01-02,600010,SELL,53.56591211940378,164,8784.80958758222,T1_02,T1,长线分散
2025-01-09,600041,SELL,58.014518802578316,545,31617.912747405182,T1_02,T1,长线分散
2025-01-31,600042,SELL,119.20172464187009,223,26581.98459513703,T1_02,T1,长线分散
2025-03-12,600009,SELL,54.91412328483527,614,33717.271696888856,T1_02,T1,长线分散
2025-06-23,600037,BUY,26.561658787923196,683,18141.612952151543,T1_02,T1,长线分散
2025-06-26,600002,BUY,63.58540660483391,90,5722.686594435052,T1_02,T1,长线分散
2025-09-02,600037,SELL,21.9723048495501,683,15007.084212242718,T1_02,T1,长线分散
2025-10-09,600043,BUY,41.76731954098303,653,27274.05966026192,T1_02,T1,长线分散
2025-11-12,600002,SELL,70.43014372725767,90,6338.712935453191,T1_02,T1,长线分散
2025-12-04,600043,SELL,49.667423276813786,653,32432.8273997594,T1_02,T1,长线分散
2024-03-04,600012,BUY,57.33905913737598,388,22247.554945301883,T1_03,T1,长线分散
2024-04-09,600012,SELL,47.701771697876985,388,18508.28741877627,T1_03,T1,长线分散
2024-05-07,600030,BUY,39.65826098457293,330,13087.226124909066,T1_03,T1,长线分散
2024-08-20,600030,SELL,36.742402211097726,330,12124.99272966225,T1_03,T1,长线分散
2024-09-12,600033,BUY,55.15247467072704,443,24432.54627913208,T1_03,T1,长线分散
2024-09-20,600020,BUY,116.33900895277323,128,14891.393145954973,T1_03,T1,长线分散
2024-11-07,600005,BUY,57.496153411319305,243,13971.565278950591,T1_03,T1,长线分散
2024-11-08,600033,SELL,58.04713545075174,443,25714.88100468302,T1_03,T1,长线分散
2024-11-22,600020,SELL,98.30152324331286,128,12582.594975144046,T1_03,T1,长线分散
2024-11-27,600050,BUY,66.87105385229107,57,3811.6500695805908,T1_03,T1,长线分散
2024-12-25,600036,BUY,12.209065964321278,442,5396.407156230005,T1_03,T1,长线分散
2024-12-31,600001,BUY,36.89570759556683,641,23650.14856875834,T1_03,T1,长线分散
2025-01-13,600021,BUY,54.35178247362719,532,28915.148275969663,T1_03,T1,长线分散
2025-03-03,600049,BUY,54.35637404321074,145,7881.674236265558,T1_03,T1,长线分散
2025-03-10,600001,SELL,48.474504026499545,641,31072.15708098621,T1_03,T1,长线分散
2025-03-20,600005,SELL,60.0810753735849,243,14599.70131578113,T1_03,T1,长线分散
2025-03-24,600036,SELL,13.450905891816427,442,5945.300404182861,T1_03,T1,长线分散
2025-04-25,600049,SELL,71.38207329878182,145,10350.400628323363,T1_03,T1,长线分散
2025-04-29,600050,SELL,81.84607943682121,57,4665.226527898809,T1_03,T1,长线分散
2025-05-30,600049,BUY,62.73354510465241,442,27728.226936256364,T1_03,T1,长线分散
2025-06-03,600021,SELL,71.4466232979963,532,38009.603594534026,T1_03,T1,长线分散
